id,title,year,description,link
42,Ma vie en rose,1997,Ma vie en rose (1997): A Belgian film about a,/wiki/Ma_vie_en_rose
43,Better Than Chocolate,1999,Better Than Chocolate (1999): Features a sub,/wiki/Better_Than_Chocolate
44,The Adventures of Sebastian Cole,1998,The Adventures of Sebastian Cole (1998),/wiki/The_Adventures_of_Sebastian_Cole
45,Creature,1999,Creature (1999): Documentary by Parris Patton,/wiki/Creature_(1999_film)
46,Todo sobre mi madre,1999,Todo sobre mi madre (1999): A film by Pedro A,/wiki/Todo_sobre_mi_madre
47,Wild Zero,1999,Wild Zero (1999),/wiki/Wild_Zero
48,Yellow Hair 2,2001,Yellow Hair 2 (2001): A South Korean film sta,/wiki/Yellow_Hair_2
49,Hedwig and the Angry Inch,2001,Hedwig and the Angry Inch (2001): An offBroa,/wiki/Hedwig_and_the_Angry_Inch_(film)
50,The Badge,2002,The Badge (2002): Billy Bob Thornton stars as,/wiki/The_Badge
51,Beautiful Boxer,2003,Beautiful Boxer (2003): A Thai film based on ,/wiki/Beautiful_Boxer
52,Normal,2003,Normal (2003): A drama film about a midwester,/wiki/Normal_(2003_film)
53,Bad Education,2004,Bad Education (aka La Mala Educacion) (2004):,/wiki/Bad_Education_(film)
54,20 centÃ_metros,2005,20 centÃ_metros (2005): A Spanish musical come,/wiki/20_cent%C3%ADmetros
55,Breakfast on PlutoThe Crying Game,2005,Breakfast on Pluto (2005): Another film by Ne,/wiki/Breakfast_on_Pluto_(film)
56,TomYumGoong,2005,"TomYumGoong (2005): Known as ""The Protector",/wiki/TomYumGoong
57,Transamerica,2005,Transamerica (2005): A comedydrama starring ,/wiki/Transamerica_(film)
58,The World's Fastest Indian,2005,The World's Fastest Indian (2005): Based on t,/wiki/The_World%27s_Fastest_Indian
59,En Soap,,"En Soap (English: A Soap, 2006): A Danish fil",/wiki/En_Soap
60,Grilled,2006,Grilled (2006): A comedy film in which SofÃ_a ,/wiki/Grilled_(film)
61,Red without Blue,2007,Red without Blue (2007): A documentary featur,/w/index.php?title=Red_without_Blue&action=ed
62,Be Like Others,2008,"Be Like Others (2008), a documentary film abo",/wiki/Be_Like_Others
63,Citulja za Eskobara,2008,Citulja za Eskobara (2008): Serbian movie inc,/w/index.php?title=Citulja_za_Eskobara&action
64,TickedOff Trannies With Knives,2010,TickedOff Trannies With Knives (2010): A rap,/wiki/TickedOff_Trannies_With_Knives
65,Gun Hill Road,2011,Gun Hill Road (2011): A drama about a recentl,/wiki/Gun_Hill_Road_(film)
66,Dallas Buyers Club,2013,Dallas Buyers Club (2013): Jared Leto plays ',/wiki/Dallas_Buyers_Club
67,The Skin I Live In,2011,The Skin I Live In (2011) [Spanish: La piel q,/wiki/The_Skin_I_Live_In
68,Boy Meets Girl,2014,Boy Meets Girl (2014): 'Ricky' (Michelle Hend,/wiki/Boy_Meets_Girl_(2014)
69,The Gap,2014,The Gap (2014) [German: Der Spalt]: A movie a,/wiki/Der_Spalt
70,Man on High Heels,2014,Man on High Heels (2014): A Korean film about,/wiki/Man_on_High_Heels
71,Tchindas,2015,Tchindas (2015): An award winning feature doc,/wiki/Tchindas
72,Tangerine,2015,Tangerine (2015): An independent film directe,/wiki/Tangerine_(film)
73,The Danish Girl,2015,The Danish Girl (2015): A drama film about Li,/wiki/The_Danish_Girl_(film)
74,Rainbow Gurl,2016,Rainbow Gurl (2016): A film about a trans wom,/w/index.php?title=Rainbow_Gurl_(film)&action
75,Wandering Son,2011,Wandering Son (2011): An 11episode anime ada,/wiki/Wandering_Son
76,All My Children,,All My Children: Zoe is a transgender charact,/wiki/All_My_Children
77,All That Glitters,,All That Glitters: Linda Gray played transgen,/wiki/All_That_Glitters_(TV_series)
78,American Horror Story: Hotel,,American Horror Story: Hotel: Liz Taylor is a,/wiki/American_Horror_Story:_Hotel
79,Ally McBeal,,Ally McBeal: Lisa Edelstein played transgende,/wiki/Ally_McBeal
80,Bad Girls,,Bad Girls: Arun Pamer  transgender character,/wiki/Bad_Girls_(TV_series)
81,The Bold and the Beautiful,,The Bold and the Beautiful: Karla Mosley appe,/wiki/The_Bold_and_the_Beautiful
82,Bones,,"Bones: In ""The He in the She,"" Brennan and he",/wiki/Bones_(TV_series)
83,Brave New Girls,,Brave New Girls: This reality TV show follows,/w/index.php?title=Brave_New_Girls_(TV_series
84,The Closer,,"The Closer: In the episode ""Make Over,"" Beau ",/wiki/The_Closer
85,The Brini Maxwell Show[1],,"The Brini Maxwell Show, Sabrina â€œBriniâ€ù Maxwe",/wiki/Brini_Maxwell
86,Col'n Carpenter[1],,Col'n Carpenter: Col'n Carpenter is reunited ,/wiki/Col%27n_Carpenter
87,Coronation Street,,Coronation Street: Hayley Cropper was the fir,/wiki/Coronation_Street
88,CSI: Crime Scene Investigation,,CSI: Crime Scene Investigation: The fifthsea,/wiki/CSI:_Crime_Scene_Investigation
89,CSI: Crime Scene Investigation,,CSI: Crime Scene Investigation: Paul Millande,/wiki/CSI:_Crime_Scene_Investigation
90,Dark Angel (TV Series),,"Dark Angel (TV Series): Season 1 Episode 8 ""O",/wiki/Dark_Angel_(TV_Series)
91,Dead of Summer (TV Series),,Dead of Summer (TV Series): Drew is revealed ,/w/index.php?title=Dead_of_Summer_(TV_Series)
92,Degrassi,,Degrassi: Adam Torres (played by Jordan Todos,/wiki/Degrassi:_The_Next_Generation
93,Diagnosis: Murder,,Diagnosis: Murder: A trans woman is murdered ,/wiki/Diagnosis:_Murder
94,Dirty Sexy Money,,"Dirty Sexy Money: Candis Cayne, actress and t",/wiki/Dirty_Sexy_Money
95,Doctor Who,,Doctor Who: ZoÃ« Wanamaker voices Lady Cassand,/wiki/Doctor_Who
96,The Education of Max Bickford,,The Education of Max Bickford: Helen Shaver p,/wiki/The_Education_of_Max_Bickford
97,Eli Stone,,"Eli Stone: In the season two episode, ""Two Mi",/wiki/Eli_Stone
98,Faking It,,"Faking It: In season three a new character, N",/wiki/Faking_It
99,The Fosters,,The Fosters: Tom Phelan plays a transgender b,/wiki/The_Fosters_(2013_TV_series)
100,Family Guy,,"Family Guy: In the episode ""Quagmire's Dad"", ",/wiki/Family_Guy
101,Glee,,"Glee: Alex Newell plays Unique Adams, who is ",/wiki/Glee_(TV_series)
102,Golden Girls,,Golden Girls: John Schuck plays a Gil Gessler,/wiki/Golden_Girls
103,Hit & Miss,,Hit & Miss: ChloÃ« Sevigny plays a transgender,/wiki/Hit_%26_Miss
104,Hollyoaks,,"Hollyoaks: In 2010, the character Jason Coste",/wiki/Hollyoaks
105,I Am Cait,,"I Am Cait, docudrama/reality show about trans",/wiki/I_Am_Cait
106,I Am Jazz,,"I Am Jazz, reality show about transgender tee",/wiki/I_Am_Jazz
107,It's Always Sunny in Philadelphia,,It's Always Sunny in Philadelphia: Brittany D,/wiki/It%27s_Always_Sunny_in_Philadelphia
108,The Jeffersons,,The Jeffersons: Veronica Redd plays Edie Stok,/wiki/The_Jeffersons
109,Just Shoot Me,,"Just Shoot Me: Jenny McCarthy plays Brandi, f",/wiki/Just_Shoot_Me
110,Law & Order: Special Victims Unit,,Law & Order: Special Victims Unit: Transgende,/wiki/Law_%26_Order:_Special_Victims_Unit
111,The Love Boat,,"The Love Boat: In a 1980s episode, MacKenzie ",/wiki/The_Love_Boat
112,The L Word,,"The L Word: Moira becomes Max, a transgender ",/wiki/The_L_Word
113,Married... with Children[2],,Married... with Children: In season 9's tenth,/wiki/Married..._with_Children
114,Mr. Robot,,"Mr. Robot: B. D. Wong portrays White Rose, a ",/wiki/Mr._Robot_(TV_series)
115,Medical Center,,Medical Center: In the twopart Season 7 open,/wiki/Medical_Center_(TV_series)
116,My Family,,"My Family: Diana Weston plays Charlie Briggs,",/wiki/My_Family
117,NCIS,,"NCIS: In the Season 1 episode ""Dead Man Talki",/wiki/NCIS_(TV_series)
118,Night Court,,"Night Court: In the Season 3 episode ""Best of",/wiki/Night_Court
119,Nip/Tuck,,Nip/Tuck: Famke Janssen played Ava Moore in t,/wiki/Nip/Tuck
120,Number 96,,"Number 96: In Australia 1973, Carlotta played",/wiki/Number_96_(TV_series)
121,One Piece,,One Piece: Mr. 2 Bon Kurei (better known as B,/wiki/One_Piece
122,Orange Is the New Black,,Orange Is the New Black: Sophia Burset (portr,/wiki/Orange_Is_the_New_Black
123,Orphan Black,,Orphan Black: Tony Sawicki (formerly Antoinet,/wiki/Orphan_Black
124,Pretty Little Liars,,Pretty Little Liars: In the summer finale of ,/wiki/Pretty_Little_Liars_(TV_series)
125,Penny Dreadful,,Penny Dreadful: Angelique ( Jonny Beauchamp) ,/wiki/Penny_Dreadful_(TV_series)
126,Queer as Folk,,Queer as Folk: Later seasons featured a minor,/wiki/Queer_as_Folk_(North_American_TV_series
127,The Riches,,"The Riches: Sam Malloy, the youngest child of",/wiki/The_Riches
128,Second Serve,,Second Serve: A TV film based on the autobiog,/wiki/Second_Serve
129,Sense8,,Sense8: One of the Sensate 'cluster' is a tra,/wiki/Sense8
130,Soldier's Girl,2003,Soldier's Girl (2003): A drama film based on ,/wiki/Soldier%27s_Girl
131,South Park,2005,South Park (2005): From the start of the nint,/wiki/South_Park
132,The Surreal Life,,"The Surreal Life: Alexis Arquette, a trans wo",/wiki/The_Surreal_Life
133,Transparent,,Transparent: Jeffrey Tambor plays a trans wom,/wiki/Transparent_(TV_series)
134,Two and a Half Men,,"Two and a Half Men: In the episode ""An Old Fl",/wiki/Two_and_a_Half_Men
135,Ugly Betty,,Ugly Betty: Rebecca Romijn plays Alexis Meade,/wiki/Ugly_Betty
136,Waterloo Road,,"Waterloo Road: In 2011, British Schoolbased ",/wiki/Waterloo_Road_(TV_series)
137,WKRP in Cincinnati,,"WKRP in Cincinnati: In episode ""Hotel Oceanvi",/wiki/WKRP_in_Cincinnati
138,List of transgenderrelated topics,,List of transgenderrelated topics,/wiki/List_of_transgenderrelated_topics
139,Lists of American television episodes with LG,,Lists of American television episodes with LG,/wiki/Lists_of_American_television_episodes_w
140,Lists of Media Portrayals of Transgender Char,,Lists of Media Portrayals of Transgender Char,/wiki/Lists_of_Media_Portrayals_of_Transgende
141,Nederlands Transgender Film Festival,,Nederlands Transgender Film Festival,http://www.transgenderfilmfestival.com/
142,Transgender Films,,Transgender Films,http://astore.amazon.com/transgenderfilms20
